timestamp,load_kw,temperature,humidity
2009-01-01 00:00:00,0.5349333333333333,-0.8,95
2009-01-01 01:00:00,0.5404666666666667,-1.3,95
2009-01-01 02:00:00,0.5753666666666667,-1.9,96
2009-01-01 03:00:00,0.5265,-1.7,95
2009-01-01 04:00:00,0.5219,-2.8,96
2009-01-01 05:00:00,0.5653333333333334,-2.7,96
2009-01-01 06:00:00,1.4264666666666663,-2.3,96
2009-01-01 07:00:00,0.6020666666666667,-1.4,95
2009-01-01 08:00:00,0.5474333333333334,-1.2,94
2009-01-01 09:00:00,0.5250666666666667,-0.5,93
2009-01-01 10:00:00,1.2703,-0.5,93
2009-01-01 11:00:00,0.3937666666666667,-0.1,92
2009-01-01 12:00:00,0.2779999999999999,0.6,89
2009-01-01 13:00:00,0.2939666666666666,1.5,87
2009-01-01 14:00:00,0.2870333333333333,2.1,85
2009-01-01 15:00:00,0.2798,2.5,84
2009-01-01 16:00:00,1.2775666666666663,2.6,84
2009-01-01 17:00:00,0.2657333333333333,2.5,84
2009-01-01 18:00:00,0.9248333333333334,2.0,86
2009-01-01 19:00:00,1.7435333333333332,1.6,88
2009-01-01 20:00:00,3.4588,1.1,87
2009-01-01 21:00:00,2.112566666666667,-0.1,88
2009-01-01 22:00:00,1.610933333333333,-0.7,88
2009-01-01 23:00:00,2.8825,-1.1,87
2009-01-02 00:00:00,2.4007,-1.3,86
2009-01-02 01:00:00,0.4316333333333333,-1.6,86
2009-01-02 02:00:00,0.3228666666666667,-1.9,86
2009-01-02 03:00:00,0.291,-2.3,86
2009-01-02 04:00:00,0.4438,-2.6,86
2009-01-02 05:00:00,0.9572666666666668,-2.6,85
2009-01-02 06:00:00,0.304,-2.7,85
2009-01-02 07:00:00,0.2909,-2.7,84
2009-01-02 08:00:00,1.0275666666666667,-2.7,83
2009-01-02 09:00:00,1.2594666666666667,-2.4,86
2009-01-02 10:00:00,3.368666666666667,-2.4,86
2009-01-02 11:00:00,3.129166666666667,-2.2,85
2009-01-02 12:00:00,1.3786999999999998,-1.5,82
2009-01-02 13:00:00,1.3643333333333334,-0.9,80
2009-01-02 14:00:00,1.782166666666667,-0.0,76
2009-01-02 15:00:00,2.4419,0.5,72
2009-01-02 16:00:00,2.3493666666666666,1.0,68
