timestamp,load_kw,pv_kw,import_price
2009-03-31 00:00:00,3.465333333333333,0.0,0.14
2009-03-31 01:00:00,3.6936666666666667,0.0,0.14
2009-03-31 02:00:00,3.480999999999999,0.0,0.14
2009-03-31 03:00:00,3.433666666666666,0.0,0.14
2009-03-31 04:00:00,3.613,0.0,0.14
2009-03-31 05:00:00,4.3776666666666655,0.0,0.14
2009-03-31 06:00:00,16.487333333333332,0.0,0.14
2009-03-31 07:00:00,20.426000000000002,0.0,0.22
2009-03-31 08:00:00,14.817666666666664,0.0693504,0.22
2009-03-31 09:00:00,17.318666666666665,0.9411839999999998,0.22
2009-03-31 10:00:00,15.601333333333333,2.6353152,0.22
2009-03-31 11:00:00,15.061,4.4186112,0.22
2009-03-31 12:00:00,14.093000000000002,5.8155263999999995,0.22
2009-03-31 13:00:00,23.935333333333332,6.806246399999999,0.22
2009-03-31 14:00:00,22.642333333333337,7.3016064,0.22
2009-03-31 15:00:00,19.85233333333333,7.281792,0.22
2009-03-31 16:00:00,14.422333333333338,6.5090304,0.22
2009-03-31 17:00:00,8.092,5.5183104,0.36
2009-03-31 18:00:00,2.9709999999999996,3.9430655999999997,0.36
2009-03-31 19:00:00,10.325666666666667,2.4173568,0.36
2009-03-31 20:00:00,35.067,0.8718336,0.36
2009-03-31 21:00:00,20.393,0.0198144,0.22
2009-03-31 22:00:00,6.354333333333333,0.0,0.14
2009-03-31 23:00:00,3.989,0.0,0.14
